统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-06-17,00-23,NULL,NULL,NULL
nf固网关联准确率,2025-06-17,00-23,210213,982400923,983317375,0.9990679997899966
nf固网关联准确率,2025-06-17,00-23,220214,645497726,860497033,0.7501452082287424
nf固网关联准确率,2025-06-17,00-23,230215,555494419,556642373,0.9979377171848899
nf移网关联率,2025-06-17,00-23,118793669,121280515,0.9794950903696278
统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-06-17,00-12,210213,1543024796,1793216458,0.8604788279274203
nf固网关联率,2025-06-17,00-12,220214,976099614,1119210279,0.8721324601058279
nf固网关联率,2025-06-17,00-12,230215,630542532,681042851,0.9258485440000603
nf固网关联准确率,2025-06-17,00-12,210213,212681638,212994145,0.9985327906548793
nf固网关联准确率,2025-06-17,00-12,220214,137570033,178750256,0.7696214600106642
nf固网关联准确率,2025-06-17,00-12,230215,106588467,106730538,0.9986688814404739
nf移网关联率,2025-06-17,00-12,210213,503944536,513861054,0.9807019467172929
nf移网关联率,2025-06-17,00-12,220214,461288572,483817466,0.9534351370440189
nf移网关联率,2025-06-17,00-12,230215,311834133,314289561,0.9921873701684925
nf移网关联准确率,2025-06-17,00-12,210213,218695974,218843379,0.9993264360993074
nf移网关联准确率,2025-06-17,00-12,220214,142619402,175396625,0.813125121421236
nf移网关联准确率,2025-06-17,00-12,230215,130783690,130878513,0.9992754884065652
