统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
pr固网关联准确率,2025-06-29,00-23,{uparea_id},NULL,NULL,NULL
pr移网关联准确率,2025-06-29,00-23,{uparea_id},NULL,NULL,NULL
统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
pr固网关联率,2025-06-29,00-23,210213,7554332,8839314,0.8546287641778536
pr固网关联率,2025-06-29,00-23,220214,5488909,5518160,0.9946991388433826
pr固网关联率,2025-06-29,00-23,230215,3687898,3702850,0.9959620292477416
pr固网关联准确率,2025-06-29,00-23,210213,104711290,104724092,0.9998777549677872
pr固网关联准确率,2025-06-29,00-23,220214,109606355,109624088,0.9998382381069387
pr固网关联准确率,2025-06-29,00-23,230215,56696094,56707557,0.9997978576294514
pr移网关联率,2025-06-29,00-23,210213,98305605,121498594,0.8091089926522113
pr移网关联率,2025-06-29,00-23,220214,80583858,80604266,0.9997468124081671
pr移网关联率,2025-06-29,00-23,230215,34899850,34912286,0.9996437930188816
pr移网关联准确率,2025-06-29,00-23,210213,89246682,89291105,0.9995024924375165
统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
