统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-07-15,00-23,210213,2397327319,2399144832,0.9992424329803863
nf固网关联率,2025-07-15,00-23,220214,1470317103,1669816827,0.8805259829855577
nf固网关联率,2025-07-15,00-23,230215,1813671715,1816879082,0.9982346832919287
nf移网关联率,2025-07-15,00-23,210213,1033294233,1047169397,0.9867498381448594
nf移网关联率,2025-07-15,00-23,220214,756907608,787673097,0.960941297706909
nf移网关联率,2025-07-15,00-23,230215,1014007894,1019499935,0.9946130050513441
pr固网关联率,2025-07-15,00-23,210213,426831860,501846770,0.8505222819307974
pr固网关联率,2025-07-15,00-23,220214,207524201,242727942,0.8549662609507067
pr固网关联率,2025-07-15,00-23,230215,226482373,260906554,0.8680593474091111
pr移网关联率,2025-07-15,00-23,210213,159557935,177526925,0.8987816073533634
pr移网关联率,2025-07-15,00-23,220214,110092943,120867312,0.9108578752872406
pr移网关联率,2025-07-15,00-23,230215,100334008,110134748,0.9110113730863578
nf固网关联准确率,2025-07-15,00-23,210213,678666381,679608536,0.998613679861137
nf固网关联准确率,2025-07-15,00-23,220214,512290766,556412326,0.9207034820432788
nf固网关联准确率,2025-07-15,00-23,230215,556782619,557428281,0.9988417128767817
nf移网关联准确率,2025-07-15,00-23,210213,598146574,598458140,0.9994793854754821
nf移网关联准确率,2025-07-15,00-23,220214,391883205,432383425,0.9063326259557706
nf移网关联准确率,2025-07-15,00-23,230215,498637561,499110978,0.9990514794887961
pr固网关联准确率,2025-07-15,00-23,210213,111669552,111689547,0.999820976980057
pr固网关联准确率,2025-07-15,00-23,220214,69274084,69286084,0.9998268050478939
pr固网关联准确率,2025-07-15,00-23,230215,62538320,62552020,0.9997809822928181
pr移网关联准确率,2025-07-15,00-23,210213,84642642,84698080,0.9993454633210104
pr移网关联准确率,2025-07-15,00-23,220214,59733255,59747246,0.9997658302108184
pr移网关联准确率,2025-07-15,00-23,230215,56173890,56196156,0.9996037807283473
